isPriority,articleType,id,buildingManagementSerialNumber,agentId,number,previewPhotoUrl,smallPhotoUrls,originPhotoUrls,businessLargeCode,businessLargeCodeName,businessMiddleCode,businessMiddleCodeName,priceType,priceTypeName,deposit,monthlyRent,isPremiumClosed,premium,sale,maintenanceFee,floor,groundFloor,size,title,firstDeposit,firstMonthlyRent,firstPremium,confirmedDateUtc,nearSubwayStation,viewCount,favoriteCount,isInYourFavorited,isMoveInDate,moveInDate,completionConfirmedDateUtc,createdDateUtc,editedDateUtc,state,areaPrice
,1,a543bf4c-c21f-4d11-ba12-caddacf640bf,2824510200110690003084821,,916114,https://img.nemoapp.kr/article-photos/411d3490-546f-4b6d-954d-085fed766dcc/s.jpg,"['https://img.nemoapp.kr/article-photos/411d3490-546f-4b6d-954d-085fed766dcc/s.jpg', 'https://img.nemoapp.kr/article-photos/26ade3d7-63e9-4a18-82fc-560b3af85d85/s.jpg', 'https://img.nemoapp.kr/article-photos/b8187dfa-d2c2-44c1-8218-d498cc33c182/s.jpg', 'https://img.nemoapp.kr/article-photos/48a81583-ab58-472e-8bc5-e4159cc2c607/s.jpg', 'https://img.nemoapp.kr/article-photos/17923d04-d1e9-4967-8b10-f46cd257b6c8/s.jpg', 'https://img.nemoapp.kr/article-photos/98986874-9299-437f-aaa7-a84b74f6ea26/s.jpg']","['https://img.nemoapp.kr/article-photos/411d3490-546f-4b6d-954d-085fed766dcc/l.jpg', 'https://img.nemoapp.kr/article-photos/26ade3d7-63e9-4a18-82fc-560b3af85d85/l.jpg', 'https://img.nemoapp.kr/article-photos/b8187dfa-d2c2-44c1-8218-d498cc33c182/l.jpg', 'https://img.nemoapp.kr/article-photos/48a81583-ab58-472e-8bc5-e4159cc2c607/l.jpg', 'https://img.nemoapp.kr/article-photos/17923d04-d1e9-4967-8b10-f46cd257b6c8/l.jpg', 'https://img.nemoapp.kr/article-photos/98986874-9299-437f-aaa7-a84b74f6ea26/l.jpg']",17,기타업종,1704,다용도점포,1,임대,10000,600,False,0,0,50,2,6,66.12,📍계산동 대로변 2층 상가임대,10000,600,0,,"계산역, 도보 14분",18,1,,True,,2026-03-09T10:38:31.807792+00:00,2025-12-06T04:58:35.696818+00:00,2026-03-09T10:46:02.306718+00:00,1,32
,1,52f1790e-26ca-4847-ba47-f2080b2db50d,2823710100104330091110311,,917593,https://img.nemoapp.kr/article-photos/50db7aad-a769-4bd8-8b3b-8cebb7075827/s.jpg,"['https://img.nemoapp.kr/article-photos/50db7aad-a769-4bd8-8b3b-8cebb7075827/s.jpg', 'https://img.nemoapp.kr/article-photos/c9eb9455-8228-4d33-9acd-2e811eb7af21/s.jpg', 'https://img.nemoapp.kr/article-photos/dfdbb41a-ea2f-4e3f-9ff2-7d26eb0c4991/s.jpg', 'https://img.nemoapp.kr/article-photos/60022520-2036-4ccf-a820-b8bd31a7e5b3/s.jpg', 'https://img.nemoapp.kr/article-photos/20e46167-418b-4bc9-9ec3-9851de26024e/s.jpg']","['https://img.nemoapp.kr/article-photos/50db7aad-a769-4bd8-8b3b-8cebb7075827/l.jpg', 'https://img.nemoapp.kr/article-photos/c9eb9455-8228-4d33-9acd-2e811eb7af21/l.jpg', 'https://img.nemoapp.kr/article-photos/dfdbb41a-ea2f-4e3f-9ff2-7d26eb0c4991/l.jpg', 'https://img.nemoapp.kr/article-photos/60022520-2036-4ccf-a820-b8bd31a7e5b3/l.jpg', 'https://img.nemoapp.kr/article-photos/20e46167-418b-4bc9-9ec3-9851de26024e/l.jpg']",17,기타업종,1704,다용도점포,3,매매,0,0,False,0,380000,120,1,5,25.35,🌟🌟부평구청역 인근 현재 공실로 자가사용 가능한 매물입니다.🌟🌟,0,0,0,,"부평시장역, 도보 8분",0,0,,True,,2026-03-09T10:41:12.575489+00:00,2025-12-13T01:15:25.567748+00:00,2026-03-09T10:46:00.652418+00:00,1,49554
,1,60f04f78-53c1-4ae7-ae52-56039124235e,2823710100105290015010071,,917325,https://img.nemoapp.kr/article-photos/bea25e71-08db-4b1f-970e-fd1db2b824a5/s.jpg,"['https://img.nemoapp.kr/article-photos/bea25e71-08db-4b1f-970e-fd1db2b824a5/s.jpg', 'https://img.nemoapp.kr/article-photos/02c1e476-7f7f-4d8f-9b80-d51bb2446326/s.jpg', 'https://img.nemoapp.kr/article-photos/b4441db2-72e2-4c88-9dd7-570332e09c4a/s.jpg', 'https://img.nemoapp.kr/article-photos/dc74721d-b41a-4f97-847a-87434ba450a2/s.jpg', 'https://img.nemoapp.kr/article-photos/b1ee7bd4-d23c-438b-bb98-24f60c8cf19a/s.jpg']","['https://img.nemoapp.kr/article-photos/bea25e71-08db-4b1f-970e-fd1db2b824a5/l.jpg', 'https://img.nemoapp.kr/article-photos/02c1e476-7f7f-4d8f-9b80-d51bb2446326/l.jpg', 'https://img.nemoapp.kr/article-photos/b4441db2-72e2-4c88-9dd7-570332e09c4a/l.jpg', 'https://img.nemoapp.kr/article-photos/dc74721d-b41a-4f97-847a-87434ba450a2/l.jpg', 'https://img.nemoapp.kr/article-photos/b1ee7bd4-d23c-438b-bb98-24f60c8cf19a/l.jpg']",17,기타업종,1704,다용도점포,1,임대,66250,6630,False,0,0,3210,1,17,162.94,🌟🌟부평시장역 초역세권 1층 핵심입지 🌟🌟,66250,6630,0,,"부평시장역, 도보 1분",0,0,,True,,2026-03-09T10:41:18.076781+00:00,2025-12-11T08:19:48.676438+00:00,2026-03-09T10:45:59.458437+00:00,1,140
,1,dce1be80-11e8-4501-ba36-a42e064adbb6,2823710800101080012204562,,916846,https://img.nemoapp.kr/article-photos/e43d09e4-1215-4475-8434-f98e0720c508/s.jpg,"['https://img.nemoapp.kr/article-photos/e43d09e4-1215-4475-8434-f98e0720c508/s.jpg', 'https://img.nemoapp.kr/article-photos/3659d2f2-3055-4d49-84bf-e96d9d066f44/s.jpg', 'https://img.nemoapp.kr/article-photos/15bae0cb-2fd0-4542-b82f-cc11fbfbe812/s.jpg', 'https://img.nemoapp.kr/article-photos/e3021d80-8345-44aa-a7f7-bff4647473bb/s.jpg', 'https://img.nemoapp.kr/article-photos/df009906-98e6-4847-a563-ca1af0e94a78/s.jpg', 'https://img.nemoapp.kr/article-photos/f7b7ef45-9598-4061-b92e-1dc25701ae85/s.jpg']","['https://img.nemoapp.kr/article-photos/e43d09e4-1215-4475-8434-f98e0720c508/l.jpg', 'https://img.nemoapp.kr/article-photos/3659d2f2-3055-4d49-84bf-e96d9d066f44/l.jpg', 'https://img.nemoapp.kr/article-photos/15bae0cb-2fd0-4542-b82f-cc11fbfbe812/l.jpg', 'https://img.nemoapp.kr/article-photos/e3021d80-8345-44aa-a7f7-bff4647473bb/l.jpg', 'https://img.nemoapp.kr/article-photos/df009906-98e6-4847-a563-ca1af0e94a78/l.jpg', 'https://img.nemoapp.kr/article-photos/f7b7ef45-9598-4061-b92e-1dc25701ae85/l.jpg']",17,기타업종,1704,다용도점포,1,임대,20000,1500,False,0,0,300,-1,4,325.19,"🌟🌟지하 단독공간, 엘리베이터 직통!🌟🌟",20000,1500,0,,"부개역, 도보 10분",0,0,,True,,2026-03-09T10:42:02.101773+00:00,2025-12-09T05:20:02.314869+00:00,2026-03-09T10:45:58.224737+00:00,1,16
,1,eba505d7-d919-4291-a2cc-df684ededbe8,2823710700101390010108439,,915803,https://img.nemoapp.kr/article-photos/d7af8059-ddf6-4e8b-b0cb-243b39737d58/s.jpg,"['https://img.nemoapp.kr/article-photos/d7af8059-ddf6-4e8b-b0cb-243b39737d58/s.jpg', 'https://img.nemoapp.kr/article-photos/29dff042-7327-4994-a15d-a2a3aeab0031/s.jpg', 'https://img.nemoapp.kr/article-photos/5db83c9a-e669-4196-8125-1917af8e0da7/s.jpg', 'https://img.nemoapp.kr/article-photos/79ef92cf-30a8-45bf-b4dc-fb59ef8cea62/s.jpg', 'https://img.nemoapp.kr/article-photos/41557892-9f57-48ae-86b9-c31f944e6f9c/s.jpg']","['https://img.nemoapp.kr/article-photos/d7af8059-ddf6-4e8b-b0cb-243b39737d58/l.jpg', 'https://img.nemoapp.kr/article-photos/29dff042-7327-4994-a15d-a2a3aeab0031/l.jpg', 'https://img.nemoapp.kr/article-photos/5db83c9a-e669-4196-8125-1917af8e0da7/l.jpg', 'https://img.nemoapp.kr/article-photos/79ef92cf-30a8-45bf-b4dc-fb59ef8cea62/l.jpg', 'https://img.nemoapp.kr/article-photos/41557892-9f57-48ae-86b9-c31f944e6f9c/l.jpg']",17,기타업종,1704,다용도점포,1,임대,20000,900,False,0,0,20,2,3,95.87,🌟🌟부평해모로 앞 코너공실🌟🌟,20000,900,0,,"부개역, 도보 13분",0,0,,True,,2026-03-09T10:42:04.312611+00:00,2025-12-05T01:16:59.448505+00:00,2026-03-09T10:45:57.02604+00:00,1,34
,1,21f3e244-10ec-4f12-875d-6f68b88dcf12,2823710100105290015010071,,917327,https://img.nemoapp.kr/article-photos/a78d433c-d5bd-411e-89bd-ea44a2cfe22b/s.jpg,"['https://img.nemoapp.kr/article-photos/a78d433c-d5bd-411e-89bd-ea44a2cfe22b/s.jpg', 'https://img.nemoapp.kr/article-photos/ebbedd68-7a0a-490c-acc2-c567165d8b3a/s.jpg', 'https://img.nemoapp.kr/article-photos/26f9bb32-e94d-418b-ae5c-aea5fb2328b4/s.jpg', 'https://img.nemoapp.kr/article-photos/3ac02ab8-2ba8-4fe6-b44c-f2c18e4e285a/s.jpg', 'https://img.nemoapp.kr/article-photos/cab4d8db-1401-47ae-a4f6-ddff1e1752da/s.jpg']","['https://img.nemoapp.kr/article-photos/a78d433c-d5bd-411e-89bd-ea44a2cfe22b/l.jpg', 'https://img.nemoapp.kr/article-photos/ebbedd68-7a0a-490c-acc2-c567165d8b3a/l.jpg', 'https://img.nemoapp.kr/article-photos/26f9bb32-e94d-418b-ae5c-aea5fb2328b4/l.jpg', 'https://img.nemoapp.kr/article-photos/3ac02ab8-2ba8-4fe6-b44c-f2c18e4e285a/l.jpg', 'https://img.nemoapp.kr/article-photos/cab4d8db-1401-47ae-a4f6-ddff1e1752da/l.jpg']",17,기타업종,1704,다용도점포,1,임대,45090,4510,False,0,0,3140,2,17,162.25,🌟🌟부평시장역 초역세권 공실🌟🌟,45090,4510,0,,"부평시장역, 도보 1분",0,0,,True,,2026-03-09T10:41:00.591563+00:00,2025-12-11T08:22:44.362377+00:00,2026-03-09T10:45:55.880578+00:00,1,96
,1,d44f76e2-0458-4f5d-b0f6-6ab4315c564d,2820010200109150006020174,,918266,https://img.nemoapp.kr/article-photos/2b1067b7-1180-43bf-803b-384dc55c8b67/s.jpg,"['https://img.nemoapp.kr/article-photos/2b1067b7-1180-43bf-803b-384dc55c8b67/s.jpg', 'https://img.nemoapp.kr/article-photos/328519df-2bcf-4f6b-af22-71e6f0e0a52b/s.jpg', 'https://img.nemoapp.kr/article-photos/2b4d9889-ae6b-4f9f-82a5-48ae30a67588/s.jpg', 'https://img.nemoapp.kr/article-photos/a3fd7623-5bb2-4d4a-9522-4035c8caeebe/s.jpg', 'https://img.nemoapp.kr/article-photos/b8a37e25-245b-42a8-b237-13fc1f796553/s.jpg']","['https://img.nemoapp.kr/article-photos/2b1067b7-1180-43bf-803b-384dc55c8b67/l.jpg', 'https://img.nemoapp.kr/article-photos/328519df-2bcf-4f6b-af22-71e6f0e0a52b/l.jpg', 'https://img.nemoapp.kr/article-photos/2b4d9889-ae6b-4f9f-82a5-48ae30a67588/l.jpg', 'https://img.nemoapp.kr/article-photos/a3fd7623-5bb2-4d4a-9522-4035c8caeebe/l.jpg', 'https://img.nemoapp.kr/article-photos/b8a37e25-245b-42a8-b237-13fc1f796553/l.jpg']",17,기타업종,1704,다용도점포,1,임대,35000,2400,False,0,0,150,1,4,72.73,🌟🌟간석사거리 인근 전면 노출 뛰어난 1층 코너🌟🌟,35000,2400,0,,"모래내시장역, 도보 10분",0,0,,True,,2026-03-09T10:41:59.902964+00:00,2025-12-17T08:11:01.117548+00:00,2026-03-09T10:45:54.704902+00:00,1,116
,1,c0565a76-699a-4c5a-bc78-6677e54e93e4,2823710100106540014205319,,916832,https://img.nemoapp.kr/article-photos/27e4e26a-7350-43a9-9a31-3344b8c53b6f/s.jpg,"['https://img.nemoapp.kr/article-photos/27e4e26a-7350-43a9-9a31-3344b8c53b6f/s.jpg', 'https://img.nemoapp.kr/article-photos/90c578de-b14c-4cd7-b874-0166fbf1c411/s.jpg', 'https://img.nemoapp.kr/article-photos/ff8ac657-b148-45ac-b268-d55791eb3316/s.jpg', 'https://img.nemoapp.kr/article-photos/46bbc336-00df-4203-b4c1-8a8b4e5316fd/s.jpg', 'https://img.nemoapp.kr/article-photos/fdff5265-3667-4f5d-a0e5-76ccf4ba4df1/s.jpg', 'https://img.nemoapp.kr/article-photos/f59a3655-489a-4e75-a730-c82c4ef3349b/s.jpg', 'https://img.nemoapp.kr/article-photos/3ef3436f-1a16-4b7a-8999-e19cbb7d51c1/s.jpg', 'https://img.nemoapp.kr/article-photos/c894c417-75c3-4b3f-bb20-fb005c53f6d6/s.jpg', 'https://img.nemoapp.kr/article-photos/98f11544-4a69-4c8c-80cd-26dccc4859b6/s.jpg', 'https://img.nemoapp.kr/article-photos/c0091ce4-d358-4cde-bd05-ae7977fe0a1d/s.jpg', 'https://img.nemoapp.kr/article-photos/52974eba-21b5-4b40-88a9-6d22e93877f1/s.jpg', 'https://img.nemoapp.kr/article-photos/df630eb3-fccb-46e5-9214-afc18cf2e6dd/s.jpg', 'https://img.nemoapp.kr/article-photos/bd1cc848-da4f-411b-8fde-8a246f865081/s.jpg']","['https://img.nemoapp.kr/article-photos/27e4e26a-7350-43a9-9a31-3344b8c53b6f/l.jpg', 'https://img.nemoapp.kr/article-photos/90c578de-b14c-4cd7-b874-0166fbf1c411/l.jpg', 'https://img.nemoapp.kr/article-photos/ff8ac657-b148-45ac-b268-d55791eb3316/l.jpg', 'https://img.nemoapp.kr/article-photos/46bbc336-00df-4203-b4c1-8a8b4e5316fd/l.jpg', 'https://img.nemoapp.kr/article-photos/fdff5265-3667-4f5d-a0e5-76ccf4ba4df1/l.jpg', 'https://img.nemoapp.kr/article-photos/f59a3655-489a-4e75-a730-c82c4ef3349b/l.jpg', 'https://img.nemoapp.kr/article-photos/3ef3436f-1a16-4b7a-8999-e19cbb7d51c1/l.jpg', 'https://img.nemoapp.kr/article-photos/c894c417-75c3-4b3f-bb20-fb005c53f6d6/l.jpg', 'https://img.nemoapp.kr/article-photos/98f11544-4a69-4c8c-80cd-26dccc4859b6/l.jpg', 'https://img.nemoapp.kr/article-photos/c0091ce4-d358-4cde-bd05-ae7977fe0a1d/l.jpg', 'https://img.nemoapp.kr/article-photos/52974eba-21b5-4b40-88a9-6d22e93877f1/l.jpg', 'https://img.nemoapp.kr/article-photos/df630eb3-fccb-46e5-9214-afc18cf2e6dd/l.jpg', 'https://img.nemoapp.kr/article-photos/bd1cc848-da4f-411b-8fde-8a246f865081/l.jpg']",17,기타업종,1704,다용도점포,1,임대,20000,1500,False,0,0,0,-1,6,72.73,🌟🌟인천성모병원 초근접 즉시입주 공실🌟🌟,20000,1500,0,,"부평역, 도보 7분",0,0,,True,,2026-03-09T10:41:55.36249+00:00,2025-12-09T04:28:33.290827+00:00,2026-03-09T10:45:53.528233+00:00,1,72
,1,9172a40f-4fa1-40c9-a957-98a94e41831c,2820010100112350015001361,,917394,https://img.nemoapp.kr/article-photos/e32c5234-d8cd-4655-9780-c1a6b7666a8a/s.jpg,"['https://img.nemoapp.kr/article-photos/e32c5234-d8cd-4655-9780-c1a6b7666a8a/s.jpg', 'https://img.nemoapp.kr/article-photos/9e0fd4de-b397-469f-9b51-7c203b2c5689/s.jpg', 'https://img.nemoapp.kr/article-photos/7083f0ce-8c29-402d-9c4d-28bd21860828/s.jpg', 'https://img.nemoapp.kr/article-photos/c22b24d5-e4fe-4615-8dd9-8d2771ded3bc/s.jpg', 'https://img.nemoapp.kr/article-photos/71fa958c-edd4-42e1-a849-c707ea0ef9fc/s.jpg', 'https://img.nemoapp.kr/article-photos/1512d619-83f0-4113-81dc-5d480a171bea/s.jpg', 'https://img.nemoapp.kr/article-photos/7a4bc073-81ce-417f-baf2-03e81e5dbff6/s.jpg']","['https://img.nemoapp.kr/article-photos/e32c5234-d8cd-4655-9780-c1a6b7666a8a/l.jpg', 'https://img.nemoapp.kr/article-photos/9e0fd4de-b397-469f-9b51-7c203b2c5689/l.jpg', 'https://img.nemoapp.kr/article-photos/7083f0ce-8c29-402d-9c4d-28bd21860828/l.jpg', 'https://img.nemoapp.kr/article-photos/c22b24d5-e4fe-4615-8dd9-8d2771ded3bc/l.jpg', 'https://img.nemoapp.kr/article-photos/71fa958c-edd4-42e1-a849-c707ea0ef9fc/l.jpg', 'https://img.nemoapp.kr/article-photos/1512d619-83f0-4113-81dc-5d480a171bea/l.jpg', 'https://img.nemoapp.kr/article-photos/7a4bc073-81ce-417f-baf2-03e81e5dbff6/l.jpg']",17,기타업종,1704,다용도점포,1,임대,20000,750,False,0,0,120,3,6,96.33,🌟🌟모래내 시장역 인근 엘베 있는 깔끔한 중소형 상가🌟🌟,20000,750,0,,"모래내시장역, 도보 11분",0,0,,True,,2026-03-09T10:41:41.355361+00:00,2025-12-12T00:28:15.646566+00:00,2026-03-09T10:45:52.318879+00:00,1,29
,1,9169fc17-53ad-4bd4-b6a0-5adf3a4fe578,2823710100107280020207153,,920242,https://img.nemoapp.kr/article-photos/8800ec49-548d-4afa-bbb8-ff078a9a06e6/s.jpg,"['https://img.nemoapp.kr/article-photos/8800ec49-548d-4afa-bbb8-ff078a9a06e6/s.jpg', 'https://img.nemoapp.kr/article-photos/323ddb11-461c-423f-9e20-fedfe6a45045/s.jpg', 'https://img.nemoapp.kr/article-photos/ee78eb3a-284d-43a1-bfd2-0734de7f4571/s.jpg', 'https://img.nemoapp.kr/article-photos/1c8c5efb-cf0c-47e9-a237-2fec4450d25b/s.jpg', 'https://img.nemoapp.kr/article-photos/77122a04-8246-4dbf-b1d0-fff058e925c6/s.jpg', 'https://img.nemoapp.kr/article-photos/42632d68-ffa4-42b6-99bd-9454012989f6/s.jpg', 'https://img.nemoapp.kr/article-photos/294098af-a013-42fa-a5b8-9aa7515b53c1/s.jpg', 'https://img.nemoapp.kr/article-photos/b4a24f49-61af-4d30-af53-b784321490a1/s.jpg', 'https://img.nemoapp.kr/article-photos/e34d05a0-ca82-4aae-9a8a-f5a7b85cbe36/s.jpg', 'https://img.nemoapp.kr/article-photos/afcbfcca-0740-4dd9-b27a-867782ca7e23/s.jpg', 'https://img.nemoapp.kr/article-photos/e33c13d5-06dc-4dfb-9e13-a49151a6c76d/s.jpg', 'https://img.nemoapp.kr/article-photos/de0b4b98-8b6b-420e-8f77-7ec07988c0e4/s.jpg', 'https://img.nemoapp.kr/article-photos/37b3a121-2440-4734-8e9f-02367d546295/s.jpg', 'https://img.nemoapp.kr/article-photos/6ff1ae04-25df-410d-94e4-c592f4e1733e/s.jpg']","['https://img.nemoapp.kr/article-photos/8800ec49-548d-4afa-bbb8-ff078a9a06e6/l.jpg', 'https://img.nemoapp.kr/article-photos/323ddb11-461c-423f-9e20-fedfe6a45045/l.jpg', 'https://img.nemoapp.kr/article-photos/ee78eb3a-284d-43a1-bfd2-0734de7f4571/l.jpg', 'https://img.nemoapp.kr/article-photos/1c8c5efb-cf0c-47e9-a237-2fec4450d25b/l.jpg', 'https://img.nemoapp.kr/article-photos/77122a04-8246-4dbf-b1d0-fff058e925c6/l.jpg', 'https://img.nemoapp.kr/article-photos/42632d68-ffa4-42b6-99bd-9454012989f6/l.jpg', 'https://img.nemoapp.kr/article-photos/294098af-a013-42fa-a5b8-9aa7515b53c1/l.jpg', 'https://img.nemoapp.kr/article-photos/b4a24f49-61af-4d30-af53-b784321490a1/l.jpg', 'https://img.nemoapp.kr/article-photos/e34d05a0-ca82-4aae-9a8a-f5a7b85cbe36/l.jpg', 'https://img.nemoapp.kr/article-photos/afcbfcca-0740-4dd9-b27a-867782ca7e23/l.jpg', 'https://img.nemoapp.kr/article-photos/e33c13d5-06dc-4dfb-9e13-a49151a6c76d/l.jpg', 'https://img.nemoapp.kr/article-photos/de0b4b98-8b6b-420e-8f77-7ec07988c0e4/l.jpg', 'https://img.nemoapp.kr/article-photos/37b3a121-2440-4734-8e9f-02367d546295/l.jpg', 'https://img.nemoapp.kr/article-photos/6ff1ae04-25df-410d-94e4-c592f4e1733e/l.jpg']",17,기타업종,1704,다용도점포,1,임대,20000,1300,False,40000,0,200,8,10,82.64,🌟🌟부평역 도보1분 역세권 🌟🌟,20000,1300,40000,,"부평역, 도보 2분",0,0,,True,,2026-03-09T10:41:40.049602+00:00,2026-01-03T03:28:41.778928+00:00,2026-03-09T10:45:50.933322+00:00,1,55
